pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 211993818.01,HIP 41232,CANDIDATE,2016,,,,08h24m49.18s,126.2049365,+20d09m10.67s,20.1529633
EPIC 211993818.01,HIP 41232,CANDIDATE,2016,143.037,,,08h24m49.18s,126.2049365,+20d09m10.67s,20.1529633
EPIC 211995325.01,EPIC 211995325,CANDIDATE,2016,8.410,,,08h44m49.78s,131.2074245,+20d10m39.41s,20.1776135
EPIC 211995398.01,EPIC 211995398,CANDIDATE,2016,10.440,,,08h14m37.51s,123.6562874,+20d10m44.80s,20.1791100
EPIC 211995398.01,EPIC 211995398,CANDIDATE,2016,,,,08h14m37.51s,123.6562874,+20d10m44.80s,20.1791100
EPIC 211997641.01,EPIC 211997641,CANDIDATE,2018,,,,09h07m36.60s,136.9025177,+20d12m54.40s,20.2151100
EPIC 212008766.02,K2-274,CANDIDATE,2022,4.340,,86,08h37m07.77s,129.2823699,+20d23m57.30s,20.3992512
EPIC 212009150.01,EPIC 212009150,CANDIDATE,2019,1.300,,,08h27m20.61s,126.8358869,+20d24m19.98s,20.4055501
EPIC 212024672.01,EPIC 212024672,CANDIDATE,2018,,,,08h31m10.60s,127.7941490,+20d39m50.96s,20.6641564
EPIC 212033577.01,EPIC 212033577,CANDIDATE,2018,,,,09h07m13.07s,136.8044416,+20d48m48.89s,20.8135797
EPIC 212035441.01,EPIC 212035441,CANDIDATE,2021,1.198,,,08h32m32.40s,128.1350093,+20d50m40.83s,20.8446748
EPIC 212036875.01,EPIC 212036875,CANDIDATE,2018,9.236,,1356,08h58m45.67s,134.6902795,+20d52m08.32s,20.8689789
EPIC 212036875.01,EPIC 212036875,CANDIDATE,2018,9.100,,,08h58m45.67s,134.6902795,+20d52m08.32s,20.8689789
EPIC 212040382.01,EPIC 212040382,CANDIDATE,2018,15.900,,,09h04m40.78s,136.1699005,+20d55m53.21s,20.9314478
EPIC 212040382.01,EPIC 212040382,CANDIDATE,2018,15.818,,1528,09h04m40.78s,136.1699005,+20d55m53.21s,20.9314478
EPIC 212041206.01,EPIC 212041206,CANDIDATE,2018,,,,08h34m52.79s,128.7199403,+20d56m49.05s,20.9469570
EPIC 212041476.01,EPIC 212041476,CANDIDATE,2018,2.400,,,08h58m31.90s,134.6329328,+20d57m04.64s,20.9512894
EPIC 212048046.01,EPIC 212048046,CANDIDATE,2021,3.545,,,08h35m42.68s,128.9278377,+21d03m49.48s,21.0637447
