kepoi_name,koi_prad,koi_teq,ra,dec
K01204.01,2.00,984.0,290.000400,38.539890
K01205.01,5.99,1419.0,295.975160,38.946640
K01206.01,5.89,292.0,293.954590,38.899971
K01001.02,3.42,511.0,292.044620,37.376240
K01002.01,1.17,1156.0,290.682250,37.355110
K01003.01,40.35,1263.0,290.327910,37.726742
K01004.01,4.86,1426.0,292.899350,37.656059
K01005.01,5.17,456.0,288.416500,41.029800
K01071.01,1.29,1611.0,295.511080,44.109261
K01072.01,1.95,767.0,290.503600,44.143581
K01073.01,1.25,1680.0,300.328980,44.151119
K01074.01,12.05,1302.0,291.275630,47.329491
K01075.01,18.66,2654.0,299.700780,47.291752
K01076.01,15.25,356.0,297.390660,47.255711
K01138.01,35.80,564.0,284.997380,44.410198
K01139.01,3.28,1434.0,296.291960,44.332260
K01140.01,97.36,3689.0,301.475770,44.319759
K01141.01,1.38,569.0,282.724060,44.346470
K01142.01,1.58,977.0,287.477420,44.237511
K01143.01,2.74,883.0,296.307620,44.211460
K00941.01,4.56,881.0,297.315980,46.023258
K00129.01,77.76,1485.0,297.009430,50.372318
K00941.02,2.74,1237.0,297.315980,46.023258
K00941.03,5.34,567.0,297.315980,46.023258
K00942.01,2.90,657.0,284.688870,46.172249
K00137.01,4.91,899.0,298.079440,44.746319
K01006.01,19.68,317.0,299.650940,40.973282
K01007.01,2.01,938.0,292.262910,37.236992
K01008.01,38.98,296.0,291.696720,37.238041
K01009.01,1.17,844.0,291.153380,36.678841
K01010.01,,,291.354030,36.784519
K01077.01,1.37,1471.0,289.714660,47.342220
K00142.01,3.93,758.0,291.148070,40.669399
K01078.01,1.65,615.0,299.830410,47.157459
K01078.02,2.05,484.0,299.830410,47.157459
K01078.03,1.87,301.0,299.830410,47.157459
K01079.01,26.35,2503.0,296.334350,47.145580
K00148.03,2.00,448.0,299.139220,40.949020
K01144.01,1.44,1282.0,292.859650,44.200642
K01145.01,2.32,621.0,296.548610,44.264671
K01146.01,0.74,425.0,285.628540,44.310890
K01147.01,1.19,1551.0,291.890750,44.223728
K00943.01,2.31,996.0,285.391330,46.180939
K00944.01,4.43,1096.0,294.799740,46.207569
K00945.01,2.40,672.0,297.951600,46.264721
K00945.02,2.70,578.0,297.951600,46.264721
K00946.01,4.42,674.0,296.659150,46.382172
K01011.01,19.81,985.0,297.620270,40.943089
K01012.01,3.78,1727.0,300.455750,43.934349
K01013.01,19.07,1965.0,293.385560,41.349819
K01014.01,2.04,454.0,299.897220,43.903912
K01015.01,4.39,1163.0,289.096890,44.004379
K01080.01,1.35,1474.0,297.788020,47.101070
K01081.01,28.15,905.0,294.768550,47.132790
K01082.01,1.67,804.0,292.144470,47.157349
K01082.02,1.42,938.0,292.144470,47.157349
K01082.03,1.25,1414.0,292.144470,47.157349
K01148.01,2.07,984.0,282.200100,44.422298
K01148.02,1.71,756.0,282.200100,44.422298
K01149.01,,,284.385620,44.391289
K01150.01,0.90,2099.0,281.766390,44.292549
K01151.01,1.22,759.0,283.002960,44.284229
K01151.02,0.94,850.0,283.002960,44.284229
K00947.01,1.83,298.0,291.862850,46.429260
K00948.01,2.37,530.0,287.569670,46.567860
K00130.01,21.95,778.0,297.360320,40.429810
K00949.01,3.24,775.0,290.067990,46.579140
K00950.01,8.31,286.0,292.657040,46.537338
K00951.01,4.18,642.0,294.068480,46.579330
K00137.02,5.94,720.0,298.079440,44.746319
K01015.02,2.36,1537.0,289.096890,44.004379
K01016.01,2.93,1045.0,295.472200,44.077381
